user_name,personality ,I-E,S-N,T-F,J-P,captions,nb_emojis
,,,,,,,
abeboy,isfp,1,1,0,0,|||I don't want to find my way home. |||Here we go! |||Fry EVERYTHING!!! |||72 weeks of my life in Barcelona. |||Mixed feelings about Milano. But yea.. They have this... Sooo.. Welp. Cool I guess. |||Me too! Me too! I also have pictures from snowy places. I'm sure you were missing some on your stream. Welcome to Milano! |||Mom. <3! |||My year in video games. |||Ok! |||Wrong! Unique is the wright word. <3! |||Bon dia Donosti! |||10000Km away from Bernat and Kuku's wedding circa 2006. |||Sonar Incognito outfit ready. Non of my students is gonna notice I'm there! |||Brosmind. |||Just another hard day at the office. |||Donosti |||Solo. |||Leaving London in 3.. 2..1.. |||Mr. Spicy. |||Solo hipster. |||Yummy! |||Plimsoles! |||Fuck it! We'll place them all together. |||Good to see they are still in business. |||Obligatory plane shot. |||Happy hangover everyone! |||Got a new Mac for Christmas! Not the fastest but the cutest :),0
,,,,,,,
ac202 ***,esfp,0,1,0,0," |||#PenaPalace is an absolutely stunning piece of architecture #Sintra #Portugal #ShotOnMoment |||The infamous #tram28 #lisbon #portugal #shotonmoment |||#Lisbon #Portugal #ShotonMoment |||#Lisbon #portugal #shotonmoment |||Happy birthday to this stunningly beautiful country. #Nofilter #ReallyNoFilter #HappyCanadaDay #MoraineLake #Banff #BanffNationalPark# Canada |||Witnessing @dwyanewade #OneLastDance in Toronto.#Raptors #Heat #NBA |||不一樣的檸檬茶，叫Darling. 👍👍👍👍👍 #HiTea #MustTry #FoodPorn #TorontoEats |||“Ok, everyone face that way.”“Nah.” #Sunflowers #SunflowerField #ShotoniPhone #Summer #ExploreCanada #NoFilter |||#ChickenPot #HotPot #FoodPorn |||#Oculus #OculusWTC #Manhattan #NYC #NewYorkCity #ShotoniPhone |||Bright lights. #BrooklynBridge #Brooklyn #Manhattan #NYC #NewYorkCity #ShotoniPhone |||#ManhattanBridge #Brooklyn #DUMBO #NYC #NewYorkCity #ShotoniPhone |||#TheHighLine #Manhattan #NYC #NewYorkCity #ShotoniPhone |||Rush hour. #GrandCentralTerminal #Manhattan #NYC #NewYorkCity #Architecture #ShotoniPhone |||#FlatIronBuilding #Manhattan #NYC #NewYorkCity #ShotoniPhoneX |||Let’s go #Raptors! #WeTheNorth #NBA #Basketball #Toronto |||What a view! #Whistler #WhistlerBlackcomb #ExploreCanada #Snowboarding #WhyILoveWinter |||First shot with the #iPhoneX, absolutely stunning. #PortraitMode #BabyShower #Cupcakes #NoFilter |||Hello. 😍 #iPhoneX #Apple |||Happy Thanksgiving! Moose tracks #KawarthaDairy ice cream on a dock. What a view! #Thanksgiving2017 #PortCarling #Muskoka #CottageCountry #ExploreCanada |||#MuskokaChairs #LakeRosseau #Muskoka #CottageCountry ExploreCanada #Thanksgiving2017 #VSCOcam |||Knee deep in some #cranberries. #JohnstonsCranberryMarsh #CranberryPlunge #Muskoka #CottageCountry #Canada #ExploreCanada #Thanksgiving2017 |||Too cute! #Disney #Macarons #SweeteryToronto #DaanGo #FoodPorn #VSCOcam |||#Kamayan #Tinuno #TorontoEats #FoodPorn #VSCOcam |||#Lavender #LavenderField #NiagaraOnTheLake #VSCOcam #VeryLatePost |||Best #HawaiianShaveIce! #UlulanisHawaiianShaveIce #Maui #Hawaii |||No joke, this was the view on the beachfront of a restaurant. Stunning! Food was top notch as well! #MamasFishHouse #Beach #Sunset #Paia #Maui #Hawaii #VSCOcam |||#BlackSandBeach #RoadtoHana #Maui #Hawaii #VSCOcam |||Such cool, colourful trees! #RainbowEucalytpus #RoadtoHana #Maui #Hawaii #VSCOcam |||Delicious authentic poke! #Ahi #SouthMauiFishCo #Maui #Hawaii #FoodPorn",6
,,,,,,,
acktionbronson,estp,0,1,1,0,|||Happy VALENTINES Day My love! My wife! My BFF |||#sanfrancisco |||Sunday Funday #frisco |||Views from the other day |||#frisco |||Our trip to the Bay Area #sanfrancisco #2020 |||Hall of Famer #steelersnation |||Hawaiian dinner tonight! Cooking for the crew. Cheeeheeee pono! 🤙🏽 |||The ride back to the shop was pretty Epic! #missingdaislands #hawaii #norcal #pacificocean🌊 |||Beautiful |||A bunch of Eucalyptus removals and prune. |||R.I.L. Kobe Bryant |||Handling business today |||Checked out the San Fran yard today. Getting ready for tomorrow |||So proud of this guy! We been through a lot when we were younger and to see him grow and become the man he is today. Proud big brother moment. Love you always Uso! |||Happy Birthday to my youngest kid @wahelilguru Zion the character lol Hope you enjoy your day! We love you! Continue to make us laugh 🤙🏽 |||Mahalo for the ride fam! Until next time. #uber |||Clearing the hillside for a customer to. Hold a couple homes |||#selfie |||Not a good day to see the bridge but I made it finally |||Take time to slow down and look around #AlohaFriday |||Beautiful colors |||Sunset view with heavy smoke from the kincade fire |||#myview from my room. #calisunsets |||#skatecity |||#myview,5
,,,,,,,
adamchlan ***,entp,0,0,1,0,|||Treat yo self |||❤️ |||WTF? |||TP |||#DumpTrump |||#piecountry |||Teamwork.,1
,,,,,,,
adamlunn,isfj,1,1,0,1," |||I think Max is tired... 😴 |||I’m no stamp collector, but these gaming stamps are great! |||These two absolutely light up everything about this time of year for me 💙 |||We’re deep in teething territory at the moment, but Max still manages a smile! 😃 |||Happy Halloween! 🎃 😈 |||I’ve been so proud of Charlie since Max arrived into our lives. It must be challenging to be the centre of attention one day, and then have to share that space with your brother. Charlie is growing up as a happy, lovely little boy, and having time off work to spend more time with my family is a great reminder of that 💙 |||Ooof, Shelby’s was delicious! |||4 months old. Where did that time go?! |||Food on retreat has been incredible |||⛱ |||Brothers 💙 |||Brothers 💙 |||Max LunnBorn 12th May 2019. |||Easter |||Three years old today. How?! |||Part of the changing bag we got for the new baby arrived today... |||Not long until this one will be a big brother |||Amazing |||3 generations. What an amazing day @lunnbag @chrismcq1985 🧡 |||Wedding today |||Christmas ☕️ |||Won’t be long until I’m ordering two coffees! |||Took Charlie to see Santa on a steam train today. Arrived in Whitehead and waited on the train at the station for an hour. Charlie loved it. I did not. |||This is the first time I’ve ever had a real Christmas tree in my house. Smells amazing, although we only had decorations for a much smaller tree... |||And... home.#nofilter |||Last night in Zanzibar |||Amazing scenery in Zanzibar |||Not a bad day to be honest |||Canoeing 🛶 |||Seeing the mangroves today with @getconversio",13
,,,,,,,
adamwoody,enfp,0,0,0,0," |||Baz shredding it at #stkildafestival |||Baz has gone leaps & bounds these school holidays |||Love waking up to the sounds & this view since I was 14.. |||Love heat .//..kidsatnanaswa45 |||Gotta love the better half |||I think this is becoming an annual date night... #kidsatnanas #ao |||Baz ripping a 50/50 grind at the @curbside_coaching Christmas party.. thanks @rickyglaser for the footage |||Thanks for the best year yet @curbside_coaching... @rickyglaser the boys enjoy every minute skating with you.. thanks for throwing an awesome Christmas party... see you all on a mystery tour 2020 🤙🏻 |||Kids at Xmas... they will try anything... |||#iconic #flava #björk #megs40th |||After school session |||#asweetashambag |||Nose grab of the day |||Awesome morning with cousin @cooper.jeffree @ Berkeley skatepark |||Great arvo with the birthday boy... @a_mouse_in_the_field |||The Boys worked very hard this term on their school work, chores & behaviour.. it has all paid off.. 2 new decks & grip (which they both assembled with help from Dean @ocdskateshop) they are ready to shred the mystery tour with @curbside_coaching |||Love Baz’s effort with his Friday lunch order.. |||Boom Shakalaka.... thanks @megswoody & Rick for having us |||The gang is back together @megswoody @sammywoodfield |||Morning tea with nana Oliver |||#trickoftheday |||#goskateboardingdaywithawaffle |||#goskateboardingday |||A very tasty tasting today.. cheers chef @shinyanakano04 |||This happened tonight at training.. I’m very proud of my 2 boys.. @curbside_coaching thanks for everything you have & are doing for Kingston & baz",2
,,,,,,,
ade_oshineye,intp,1,0,1,0," |||Memories of Singapore #latergram #synthwave |||Starfield Library at night #halfthestoryhasneverbeentold #latergram |||❤️andalism inspired by Shibuya-kei#snapseed #shibuya |||New flavours.1- It turns out Meiji The Chocolate has a wide variety of flavours but I just haven't figured out where to buy them all. My current strategy (visiting random 7-11s, Lawson Marts and Family Marts) may be sub-optimal.2- Matcha hot chocolate at Hi Cocoa in Harjuku. Highly recommended. |||Torre Picasso #latergram |||Spot the asymmetry#AccidentalMirrorSelfie #shotonpixel #MadridIsMagic #latergram |||All of the lights #shotonpixel #latergram |||The men in black: @romainguy and Chet Haase #itainteasybeinggreen #playtime2019 #playtime #mokum |||A necessary change of perspective #snapseed #widewhynot |||@miles_holder at the #CreatorMeet in Zürich sponsored by @eyeemphoto @canondeutschland and @viueyewear /cc @creatormeets #shotoncanoneosr #eyeemoninstagram #canondeutschland #creatormeets #eyeemphoto #canonforaday #shotoncanon |||Leave the pieces when you go #spectreapp #spectreshot #latergram |||The New Normal #discoverswitzerland #typography |||Mixer #speedfactory #io19 #mlkit |||Empire 2.0 #latergram #shotonpixel |||The Shadow Knows #WhereInTheWorld #WideWhyNot |||#NightSight panorama in New York #latergram #shotonpixel #teampixel #googlephotos #widewhynot |||Another quiet evening in Paris #shotonpixel #shotonpixel2 #nightsight |||That thing where you connect Adam and Simon then magic happens |||🎵Superstar, you finally made itBut once your picture becomes taintedIt's what they callThe rise and fall🎵 |||The legend that is Manu Cornet #shotonpixel2 #portraitmode |||Nokia to Withings #boom #withings #newwatchalert |||Spital Yard #nofilter |||Cignale gelato cookie #latergram #Tokyo #TokyoEats |||Prints from my portraiture course at @citylit The models are some of my fellow students. |||@thereshegoesroamingband in Covent Garden |||Hong Kong Taxi #nofilter #shotonpixel2 #shotonpixel #teampixel |||The Secret Lives of Baba Segi's Wives |||Open #refugeeswelcome |||Cakes from @hummingbbakery turned up at the office. Both Key Lime Pie and Peanut Butter & Jelly would make for great codenames. |||Started reading ""Going Offline"" by @adactio",3
,,,,,,,
adrianh,infp,1,0,0,0,|||Sequoia sunset. #mororock #nationalpark #sunset |||Blue Skies Ahead. #blue #12apostles #australia |||City views #sanfrancisco #sf #clouds |||Sunset chasing #bayarea #cloudporn #sunset |||Windy stormy skies. #cloudporn #gray #newport |||Bright blues. #bluesky #bayarea #california |||In the light. #nationalpark #redwoods #california |||Sunset above the clouds on the Uber of the skies @blackbird #sunset #cloudporn #sky |||Greens and blues. #channelislandsnationalpark #nationalpark #ca |||On the horizon. #deathvalley #cloudporn #nationalpark |||Obsessions of blue. #bluesky #lake #blue |||Reflections at Yosemite. #reflections |||Sunset time. #cloudporn #sunset #mexico |||Mt. Tam Sunsets #sunset #mttam #bayarea |||The road ahead. #earliertoday #cypresstreetunnel #california |||Blue Stillness. #blue #lake #tahoe |||Amanecer #sunrise #cdmx #mexicocity |||Facade #facade #architecture #cdmx |||Mexico City Sunset. #cdmx #mexicocity #sunset |||California Coast #coastline #coast #ca |||Sunny day in paradise. #lahaina #hawaii #blueskies |||From sunrise to sunset. #sunset #hawaii |||Maui Sunrises #earlymorning #hawaii #cloudporn |||Sunsets in SF. #sunset #sf #landsend |||Bay Area Haze. #morninghaze #cloudporn #bayareatrails |||Shark Fin #california #sharkfin #cove |||Fantastic Colorado views. #cloudporn #blueskies #redrocksamphitheater |||Clear skies. #blue #sky #mexico |||Sunset+Sky. #sunset #sky #magichour |||Sunset Time. #sunset #cabo #mexico,0
,,,,,,,
adrihussey,enfj,0,0,0,1,|||A well deserved martini after a snowy drive from Iowa. #yesiwasthere #noimnothungover #mahtomedifind #blaedornwedding @rachelklemmensen |||I’ll let you be my #hibiscusmistress any day beautiful. |||Double up for a buck? #2019grapetour |||My new favorite pastime... Sunday mornings at el aeropuerto #airportsunday #lolomsp #werkwerkwerk @dwjoejoe thank you for giving me a slice of home when I’m stuck at MSP |||Adventures beyond Hudson city limits #acousticmusic #localdistillery #11wellsdistillery #11wells |||#roomiedinner #jnsq #rosecru #2019grapetour @carlycsyfko |||Cheers to our new roomie @midwestlioness !! @carlycsyfko and I couldn’t be happier to add another #halfhippie soul to the #divinesecretsofthepantlesssisterhood #muchlove #roomieofficial OF COURSE we would only cheers to Kelly with @mummnapa #girlsnight #bubbles #2019grapetour #mummnapa |||Finding your way home is the best feeling. #homeiswherethehappyhouris |||Italy or Hudson?? @annaemorgan87 |||@eatbricks #dinnerfortwo BEST little hidden gem in #hudsonwi #eathere |||Hey #nerds my favorite #bulletproofcoffee is having a flash sale for another 30 minutes! Do you crave #MCToil and #brainfood ?? Message me ASAP. ☕️☕️ |||Been trying to decide if #roomienight dinner looked delicious. Accurately summarized by #lunagirl #looneytuney @carlycsyfko #burrata #bruschetta #2019grapetour #roséallday |||#summerliving #2019grapetour #district7 |||Ummmm #wow talk about a killer #takeout presentation. Way to go @greenmillrestaurants your Hudson location slayed this #cobbsalad |||Ok...so I opted for a couple extras...kinda...sorta...but... WORTH IT! You NEED to get your hands on a summer #fabfitfun box ❤️❤️❤️ #fffgiveaway  #leblancescape #leblancsparesortloscabos |||YASSSSS!!! #fabfitfun time! It’s my favorite time #treatyoself |||Omg! Something that didn’t die under my care! #strawberryfields #champagnefuture |||Dude. Why am I still at work? #adultingblows |||Dental convention probs. #cdapresents2019 #cda #hotellobbyDJ |||You’ve reached a whole new level of shallow when you bring your own robe and crimper on your trips...ya welcome #tableforone #worktrips |||It’s all fun and games until it’s #tableforone |||#bananacreampie #onthebeach @thebeachcombercafe |||Clay masks and hair crimping before the #worldofdance finals. Love me some #Sundayvibes @carlycsyfko |||The beginnings of a perfect Sunday. #girlsday #mummnapa #2019grapetour @carlycsyfko |||Doing some damage @stpaulgrill #daydrinking |||FYI |||Day #4 of #bulletproofcoffee and not even a funny sign can save me from the glorious moment of going to leave for work and finding a flat tire. #buttheyarenewtires #notfair #buyersremorse |||It’s HERE!!! #fabfitfun #beatthesnow #springfever |||#polarvortex #porterhouse |||Ummm...looks like @carlycsyfko has a working dishwasher #goals #Saturday #beenwaitingforthisdaysince97,5
,,,,,,,
aishaamrin,esfp,0,1,0,0,|||Adventurers |||Giving Space to a beautiful mess @erizalfineart #erizalas #gajahgallery #indonesiancontemporaryart #indonesianart |||His favourite baju for Saturday jemputans #pokokskids |||We’re so stoked to be showing teamlab in Manila this weekend at AFP! Come by!!! |||😍 |||Little lion with Big lions |||Is this the real life? |||Best film at #sgiff2018 🤩 @jamespage6032 |||Sabri Idrus tonight at the Gallery #gajahgallery #sabriidrus |||Two years later... |||Morning 👯‍♀️ |||Good night ✨ |||Monday’s list of things to do  #Yunizar |||When I grow up...#uss #rhythmtruck |||Kayleigh’s show opens tomorrow! Come by and see these beautiful pieces. |||Beautiful wedding |||Cirque |||Suzann Victor’s See Like a Heretic opens tonight. |||Morning Yoga |||❤️ |||❤️ |||Till next year @artstagesg |||Milo and hashbrown |||Need to get all the cuddles now before he turns 10! |||My bestie |||Cutie x 2 |||Favourite boys 😍 |||Happy Wedding Bossman 😍 |||Badass over here with my minions tattoo,9
,,,,,,,
alannacellucci,isfp,1,1,0,0," |||No, I don’t... Hope everyone has a safe Halloween & Unpleasant Dreams ☠️ 💋 .........#elvira #elviramistressofthedark #cassandrapeterson #horror #halloween #halloween2019 #trickortreat #witch #spookyseason  #horror #october #fall #boston #graveyard #graves #cemetery #trickortreat #fanart #photography #80s #80shorror |||The breeze, the breath of God, is still,And the mist upon the hillShadowy, shadowy, yet unbroken,Is a symbol and a token.How it hangs upon the trees,A mystery of mysteries!#grave #graveyard #cemetery #foresthillscemetery #foresthills #fall #foliage #abandoned #nature #colors #october #foliage #trees #leaves #photograpy #instaart #boston #massachusetts #halloween |||Be silent in that solitude,Which is not loneliness — for thenThe spirits of the dead, who stoodIn life before thee, are againIn death around thee, and their willShall overshadow thee; be still.#grave #graveyard #cemetery #foresthillscemetery #foresthills #fall #foliage #abandoned #nature #colors #october #foliage #trees #leaves #photograpy #instaart #boston #massachusetts #halloween |||Barnabas Collins🦇 🎃#darkshadows #barnabascollins #jonathanfrid #vampire #ghosts #gothic #horror #drawing #mixedmedia #painting #oil #illustration #art #darkart #instaart #vintage #60s #70s #october #inktober #halloween #trickortreat #throwbackthursday |||Barnabas Collins mixed media portrait I did a few years ago. 🦇 🎃#darkshadows #barnabascollins #jonathanfrid #vampire #ghosts #gothic #horror #drawing #mixedmedia #painting #oil #illustration #art #darkart #instaart #vintage #60s #70s #october #inktober #halloween #trickortreat #throwbackthursday |||Enjoying the nice fall weather🍁..... .#fall #nature #october #tree #leaves #colors #photography #boston #halloween #instagood |||.....#sketch #sketchbook #sketching #drawing #instart #portrait #graphite #mixedmedia #illustration #blackandwhite |||🌹🌹.....#sketch #sketchbook #drawing #instart #rose |||If T2 isn’t your favorite out of the Terminator movies fight me... I hope everyone had a safe Halloween 🎃 ......#Terminator #HappyHalloween #sketch |||When you can draw your selfies 👽 ......#pencil #pastel #portrait #selfie #art #blackandwhite #drawing #illustration |||Katie & Tyler 💙💚......#mixedmedia #painting #oil #oilpainting #pastel #colorpencil #woodoncanvas #portrait #art |||🎨.....#mixedmedia #painting #oil #pastel #colorpencil #woodoncanvas #anatomy #art #wip |||👄.....#mixedmedia #painting #oil #pastel #colorpencil #woodoncanvas #art |||Red line sketching .......#mbta #redline #cambridge #lucad #sketching |||""I’d hate to die like your son. Clawing at my neck, foam and bile spilling from my mouth, eyes blood red, skin purple. Must have been horrible for you, as a Kingsquard, as a father. It was horrible enough for me. A shocking scene. Not at all what I intended. You see, I had never seen the poison work before. Tell Cersei. I want her to know it was me."".....#gameofthrones #gameofthronesseason7 #ladyolenna #sketching #drawing #dianarigg #fanart |||""Nothing's Gonna Hurt You Baby"" -Cigarettes After Sex.....#art #drawing #sketching #sketchbook #portrait #wip #workinprogress #graphite #pastel #blackandwhite |||.....#art #drawing #sketching #sketchbook #portrait #colorpencil #graphite #pastel #blackandwhite |||....#art #drawing #sketching #sketchbook #portrait #colorpencil #graphite #blackandwhite #lips |||✏️#sketching #drawing |||Accidentally spilt some of my water on it, guess I'm done ¯\_(ツ)_/¯ #bramstoker #dracula #minaharker #oil #colorpencil #drawing #painting |||💩💩#longhairdontcare #blackandwhite #portraitphotography |||💩 #humanfigure #anatomy #sketch #drawing #nude |||Happy Halloween 🎃#happyhalloween #halloweendogs #goldenretriever |||#foresthillscemetery #foresthills #cemetery #graveyard #statue #blackandwhite |||#foresthillscemetery #foresthills #cemetery #graveyard #statue #blackandwhite |||Grace Allen #foresthillscemetery #foresthills #cemetery #graveyard #blackandwhite |||Grace Allen #foresthillscemetery #foresthills #cemetery #graveyard #blackandwhite",20
,,,,,,,
